evid,latitude,longitude,depth,time,mag,T_src,X,Y,unc_x,unc_y,unc_z
28,35.877702890723036,-117.70658725806749,4.882643,2000-12-13T15:28:01.200766,1.0,-0.18321395,172.14363,222.59557,NaN,NaN,NaN
68,35.91685353494474,-117.7112032777322,4.979696,2000-12-13T16:08:00.959347,1.0,0.014787498,171.64343,226.93062,NaN,NaN,NaN
247,35.97164743178258,-117.6629218281277,3.509961,2000-12-13T19:07:00.748759,1.0,0.24223703,175.88107,233.09105,NaN,NaN,NaN
531,35.91365218986003,-117.7307337927528,4.761893,2000-12-13T23:51:01.464882,1.0,-0.48300767,169.88753,226.54277,NaN,NaN,NaN
77,35.94612766583092,-117.68683024509254,4.29729,2000-12-13T16:17:00.807980,1.0,0.21311842,173.77992,230.21921,NaN,NaN,NaN
200,36.04773687657307,-117.85273745904641,3.517325,2000-12-13T18:20:01.096029,1.0,-0.07556151,158.6111,241.21964,NaN,NaN,NaN
435,35.937396396849074,-117.69934496236222,4.4770813,2000-12-13T22:15:00.946292,1.0,0.0390823,172.6696,229.2294,NaN,NaN,NaN
450,35.97072454107487,-117.66371654302246,3.59099,2000-12-13T22:30:01.243724,1.0,-0.25629088,175.81142,232.9873,NaN,NaN,NaN
646,35.71725576113139,-117.56311179122069,6.9126835,2000-12-14T01:46:01.105082,1.0,-0.13230035,185.46616,205.04945,NaN,NaN,NaN
660,35.66734504597934,-117.47128096643048,4.5324693,2000-12-14T02:00:00.824915,1.0,0.18193917,193.89328,199.68385,NaN,NaN,NaN
543,35.633039316670455,-117.45874562901592,6.1214833,2000-12-14T00:03:01.061424,1.0,-0.017448464,195.11041,195.90242,NaN,NaN,NaN
978,35.6606191598974,-117.47998841947242,5.928874,2000-12-14T07:18:01.251712,1.0,-0.29461816,193.12105,198.92128,NaN,NaN,NaN
224,36.05855842608949,-117.84298907953733,3.4263794,2000-12-13T18:44:00.782059,1.0,0.21473521,159.46799,242.43527,NaN,NaN,NaN
369,35.93429524778588,-117.69262038531541,4.5240045,2000-12-13T21:09:00.940578,1.0,0.05001251,173.28302,228.89682,NaN,NaN,NaN
79,35.90311350839707,-117.67365838713302,4.1788754,2000-12-13T16:19:00.861191,1.0,0.15882806,175.06174,225.47037,NaN,NaN,NaN
103,35.89067957537902,-117.71728855152217,5.1983476,2000-12-13T16:43:01.253086,1.0,-0.24131913,171.14981,224.017,NaN,NaN,NaN
192,35.89431906529904,-117.67761880003013,4.4716563,2000-12-13T18:12:01.145509,1.0,-0.15156114,174.72331,224.48804,NaN,NaN,NaN
44,35.940163361212996,-117.68703217638917,4.5104365,2000-12-13T15:44:00.996200,1.0,0.013303727,173.77458,229.55727,NaN,NaN,NaN
