time,evid,arid,phase,network,station
2000-12-13T15:01:10.740000,1,1,P,X,ST0 
2000-12-13T15:01:17.500000,1,2,S,X,ST0 
2000-12-13T15:01:04.840000,1,3,P,X,ST1 
2000-12-13T15:01:07.410000,1,4,S,X,ST1 
2000-12-13T15:01:11.750000,1,5,S,X,ST2 
2000-12-13T15:01:03.770000,1,6,P,X,ST3 
2000-12-13T15:01:16.340000,1,7,S,X,ST4 
2000-12-13T15:01:08.450000,1,8,S,X,ST5 
2000-12-13T15:01:11.990000,1,9,S,X,ST6 
2000-12-13T15:01:06.840000,1,10,P,X,ST7 
2000-12-13T15:01:08.540000,1,11,S,X,ST8 
2000-12-13T15:01:13.990000,1,12,S,X,ST9 
2000-12-13T15:01:03.400000,1,13,P,X,ST10
2000-12-13T15:01:05.110000,1,14,S,X,ST10
2000-12-13T15:01:05.480000,1,15,P,X,ST11
2000-12-13T15:01:08.890000,1,16,S,X,ST11
2000-12-13T15:01:02.240000,1,17,P,X,ST12
2000-12-13T15:01:03.070000,1,18,S,X,ST12
2000-12-13T15:01:08.000000,1,19,P,X,ST13
2000-12-13T15:01:12.660000,1,20,S,X,ST15
2000-12-13T15:01:10.280000,1,21,P,X,ST16
2000-12-13T15:01:16.880000,1,22,S,X,ST16
2000-12-13T15:01:13.900000,1,23,S,X,ST18
2000-12-13T15:01:07.890000,1,24,P,X,ST19
2000-12-13T15:01:03.310000,1,25,P,X,ST20
2000-12-13T15:01:05.530000,1,26,P,X,ST21
2000-12-13T15:01:02.910000,1,27,P,X,ST22
2000-12-13T15:01:10.050000,1,28,S,X,ST23
2000-12-13T15:01:09.400000,1,29,P,X,ST24
2000-12-13T15:01:06.590000,1,30,P,X,ST25
2000-12-13T15:01:09.480000,1,31,P,X,ST26
2000-12-13T15:02:22.100000,2,1,S,X,ST0 
2000-12-13T15:02:07.540000,2,2,P,X,ST1 
2000-12-13T15:02:11.330000,2,3,S,X,ST2 
2000-12-13T15:02:11.920000,2,4,P,X,ST4 
2000-12-13T15:02:07.210000,2,5,P,X,ST5 
2000-12-13T15:02:10.240000,2,6,P,X,ST6 
2000-12-13T15:02:16.810000,2,7,S,X,ST6 
2000-12-13T15:02:07.050000,2,8,P,X,ST8 
2000-12-13T15:02:09.960000,2,9,P,X,ST9 
2000-12-13T15:02:16.390000,2,10,S,X,ST9 
2000-12-13T15:02:04.660000,2,11,S,X,ST10
2000-12-13T15:02:03.820000,2,12,S,X,ST11
2000-12-13T15:02:05.330000,2,13,P,X,ST12
2000-12-13T15:02:08.400000,2,14,S,X,ST12
2000-12-13T15:02:10.700000,2,15,P,X,ST13
2000-12-13T15:02:09.610000,2,16,P,X,ST14
2000-12-13T15:02:10.180000,2,17,P,X,ST15
2000-12-13T15:02:16.880000,2,18,S,X,ST15
