network,station,dt,evid1,evid2,phase,cc
X,ST0,0.03345584192064766,275,67,P,1.0
X,ST0,0.04821618143501162,275,981,P,1.0
X,ST0,0.02330437076183389,275,457,P,1.0
X,ST0,-0.10303157231604392,275,484,P,1.0
X,ST0,-0.02094644133326907,275,306,P,1.0
X,ST0,-0.08553625427636019,275,501,P,1.0
X,ST0,-0.08536953235360292,275,596,P,1.0
X,ST0,-0.06418881895803676,275,412,P,1.0
X,ST0,0.0036457239618607573,557,758,P,1.0
X,ST0,0.052941324966555084,557,532,P,1.0
X,ST0,-0.05971577758684253,557,955,P,1.0
X,ST0,-0.02453287013387578,470,537,P,1.0
X,ST0,0.05263545912998294,470,241,P,1.0
X,ST0,-0.0816290994799306,470,462,P,1.0
X,ST0,-0.024821193126801134,68,40,P,1.0
X,ST0,-0.014011537873655075,68,587,P,1.0
X,ST0,-0.08960277892518327,73,828,P,1.0
X,ST0,0.0670754324903494,73,862,P,1.0
X,ST0,-0.027819084623567997,73,429,P,1.0
X,ST0,0.09742807759381093,73,297,P,1.0
X,ST0,-0.019918578194816138,73,635,P,1.0
X,ST0,0.08724397094700616,73,248,P,1.0
X,ST0,-0.047059361856018424,73,746,P,1.0
X,ST0,0.060067243153058655,73,927,P,1.0
X,ST0,-0.08711162478966018,73,307,P,1.0
X,ST0,-0.13889013245967594,73,621,P,1.0
X,ST0,0.008252279079448168,73,998,P,1.0
X,ST0,-0.07422190411576382,73,293,P,1.0
X,ST0,-0.12786357002501467,73,308,P,1.0
X,ST0,-0.08782678068977422,188,218,P,1.0
X,ST0,0.0011783875505109107,188,833,P,1.0
X,ST0,-0.0211202076269226,188,319,P,1.0
X,ST0,-0.043776050071269126,188,982,P,1.0
X,ST0,-0.019572283925075845,188,801,P,1.0
X,ST0,0.016467029962018258,188,888,P,1.0
X,ST0,-0.00336936627623717,188,542,P,1.0
X,ST0,0.034859936283126294,188,739,P,1.0
X,ST0,-0.006480751708556741,188,152,P,1.0
X,ST0,0.04167464744222833,188,498,P,1.0
X,ST0,0.051090140878216186,188,783,P,1.0
X,ST0,-0.0022735205424459556,188,321,P,1.0
X,ST0,0.04316773338219509,188,435,P,1.0
X,ST0,0.11927956320272871,188,355,P,1.0
X,ST0,0.04055248376939294,188,887,P,1.0
X,ST0,-0.12098269967852139,188,762,P,1.0
X,ST0,-0.04904516972530439,188,369,P,1.0
X,ST0,0.08035586237055493,188,318,P,1.0
X,ST0,0.08493708341685671,188,657,P,1.0
X,ST0,0.09593748071785808,193,592,P,1.0
X,ST0,-0.0010883304571765035,193,238,P,1.0
X,ST0,0.10320848304566706,193,906,P,1.0
X,ST0,0.0018176977260967158,193,43,P,1.0
X,ST0,0.05731652283785512,193,552,P,1.0
X,ST0,0.0949855998153309,193,98,P,1.0
X,ST0,0.12879160618288085,193,515,P,1.0
X,ST0,0.08928212583122698,193,140,P,1.0
X,ST0,0.09914467203128767,193,750,P,1.0
X,ST0,-0.10020063454615445,193,17,P,1.0
X,ST0,0.09751251109665705,193,600,P,1.0
X,ST0,-0.08313899471966855,519,664,P,1.0
X,ST0,-0.08945897721228442,519,447,P,1.0
X,ST0,-0.05727208660835596,519,578,P,1.0
X,ST0,-0.10982188124940942,519,91,P,1.0
X,ST0,-0.11107373047165157,519,855,P,1.0
X,ST0,-0.09800415467152884,519,387,P,1.0
X,ST0,-0.09466749616879788,519,260,P,1.0
X,ST0,-0.037644943882696895,519,468,P,1.0
X,ST0,-0.08240480477521607,519,79,P,1.0
X,ST0,-0.1364878736635087,519,731,P,1.0
X,ST0,0.05254388116517689,519,223,P,1.0
X,ST0,-0.03775353032464161,519,668,P,1.0
X,ST0,0.01702473155629484,519,351,P,1.0
X,ST0,-0.03810814583237595,638,769,P,1.0
X,ST0,-0.042477561728204785,756,725,P,1.0
X,ST0,-0.11746553483791958,756,213,P,1.0
X,ST0,-0.021041169292225534,756,49,P,1.0
X,ST0,0.026547842899486564,756,812,P,1.0
X,ST0,-0.024818182737223676,756,210,P,1.0
X,ST0,-0.02110010764711386,756,980,P,1.0
X,ST0,-0.024458281530113674,756,154,P,1.0
X,ST0,0.04775323822047489,756,570,P,1.0
X,ST0,0.05193632848377136,147,847,P,1.0
X,ST0,0.013691507675648792,147,816,P,1.0
X,ST0,0.008048369198968019,147,357,P,1.0
X,ST0,0.008837890365872554,147,440,P,1.0
X,ST0,0.016797650174178252,147,231,P,1.0
X,ST0,0.07359756634091341,229,200,P,1.0
X,ST0,0.11998951203432641,229,317,P,1.0
X,ST0,0.09445573553776172,229,722,P,1.0
X,ST0,0.05468404335847171,229,217,P,1.0
X,ST0,0.0887624219611418,229,807,P,1.0
X,ST0,0.022564856272215193,901,721,P,1.0
X,ST0,-0.1209482833896842,901,59,P,1.0
X,ST0,0.05741151935212204,901,276,P,1.0
X,ST0,0.030557428005332087,901,154,P,1.0
X,ST0,0.05749145724921469,901,570,P,1.0
X,ST0,-0.07138655325091366,901,218,P,1.0
X,ST0,0.09033000103984046,901,631,P,1.0
X,ST0,0.02574651039129905,901,209,P,1.0
X,ST0,-0.10667186386861896,901,493,P,1.0
X,ST0,-0.036512810124433304,901,514,P,1.0
X,ST0,-0.031375552036841683,901,111,P,1.0
X,ST0,0.12874407915965752,901,165,P,1.0
X,ST0,-0.1133084675921047,901,958,P,1.0
X,ST0,-0.03781156394828848,732,351,P,1.0
X,ST0,0.16382929582713487,732,876,P,1.0
X,ST0,0.04124278856577137,758,532,P,1.0
X,ST0,-0.07514318631704689,758,955,P,1.0
X,ST0,0.08753384117516357,314,345,P,1.0
X,ST0,0.1288870780681247,314,353,P,1.0
X,ST0,0.053114350523656394,314,752,P,1.0
X,ST0,0.0014425708806082497,314,751,P,1.0
X,ST0,0.05808588669517312,314,158,P,1.0
X,ST0,0.008521422642126877,750,592,P,1.0
X,ST0,-0.07966071817562907,750,43,P,1.0
X,ST0,-0.039862504163814955,750,552,P,1.0
X,ST0,0.0028542027896719226,750,98,P,1.0
X,ST0,0.03469568098747607,750,637,P,1.0
X,ST0,-0.07033866722354855,750,511,P,1.0
X,ST0,0.03665889439764081,750,515,P,1.0
X,ST0,0.02523937512990288,750,140,P,1.0
X,ST0,-0.06524686038099045,750,915,P,1.0
X,ST0,0.02533770768648753,750,658,P,1.0
X,ST0,0.016168787551544758,750,548,P,1.0
X,ST0,0.055478978154832395,750,116,P,1.0
X,ST0,0.019990751511282198,750,772,P,1.0
X,ST0,0.007493042411981468,750,600,P,1.0
X,ST0,-0.024110310662194625,750,127,P,1.0
X,ST0,-0.07840721590058336,303,463,P,1.0
X,ST0,-0.01506025483936715,303,431,P,1.0
X,ST0,-0.0034811746668377786,303,58,P,1.0
X,ST0,-0.044679979137081834,303,893,P,1.0
X,ST0,-0.014053023613930973,303,964,P,1.0
X,ST0,-0.027221171599198648,303,327,P,1.0
X,ST0,0.07823466741106432,77,399,P,1.0
X,ST0,0.07155328896348404,77,521,P,1.0
X,ST0,-0.013198262577431997,77,9,P,1.0
X,ST0,0.04049600334831975,77,602,P,1.0
X,ST0,0.06006514985869621,77,569,P,1.0
X,ST0,0.038761337724342565,77,55,P,1.0
X,ST0,-0.12092894369295364,77,44,P,1.0
X,ST0,0.06456961815305237,462,537,P,1.0
X,ST0,0.13946815779694627,462,241,P,1.0
X,ST0,-0.0805390202547205,462,964,P,1.0
X,ST0,-0.08488463580082456,462,682,P,1.0
X,ST0,-0.10420857002548925,462,327,P,1.0
X,ST0,-0.012285353674781369,648,137,P,1.0
X,ST0,0.154251487353319,648,966,P,1.0
X,ST0,0.1328241584224439,648,397,P,1.0
X,ST0,-0.06159296726932412,648,157,P,1.0
X,ST0,-0.12166657403330328,648,284,P,1.0
X,ST0,-0.11590434943289031,648,115,P,1.0
X,ST0,-0.09056078950314193,648,703,P,1.0
X,ST0,-0.06900475069999057,648,82,P,1.0
X,ST0,0.006094546556447002,648,265,P,1.0
X,ST0,0.06627300254622961,514,721,P,1.0
X,ST0,0.05824464095079248,514,209,P,1.0
X,ST0,-0.07839924107465666,514,493,P,1.0
X,ST0,-0.03137824358090556,514,111,P,1.0
X,ST0,-0.03001566933145133,908,329,P,1.0
X,ST0,0.05899566417476078,908,625,P,1.0
X,ST0,0.10763336677938488,908,263,P,1.0
X,ST0,0.013706450761166155,3,650,P,1.0
X,ST0,-0.10768488935941406,3,377,P,1.0
X,ST0,-0.0029984824884932825,3,4,P,1.0
X,ST0,-0.04336342428982487,3,288,P,1.0
X,ST0,0.1297247385392991,3,817,P,1.0
X,ST0,0.012091674723362554,3,619,P,1.0
X,ST0,-0.07592410099752961,146,933,P,1.0
X,ST0,-0.05125979189986714,146,725,P,1.0
X,ST0,-0.08072498545619819,146,588,P,1.0
X,ST0,0.031087373834780548,146,812,P,1.0
X,ST0,-0.010300278132295912,146,210,P,1.0
X,ST0,-0.018260340611039316,146,980,P,1.0
X,ST0,-0.11670850060615255,146,918,P,1.0
X,ST0,0.06829628956040004,282,489,P,1.0
X,ST0,-0.005747392689210324,282,689,P,1.0
X,ST0,-0.0017315869644704603,282,364,P,1.0
X,ST0,0.016377511596414145,282,922,P,1.0
X,ST0,0.04317326007386018,282,170,P,1.0
X,ST0,0.03493028149499379,282,655,P,1.0
X,ST0,0.041611593138455236,282,448,P,1.0
X,ST0,0.020677796946279837,282,460,P,1.0
X,ST0,0.0887156733781346,282,233,P,1.0
X,ST0,-0.001197413793385593,282,12,P,1.0
X,ST0,-0.14139294670342875,569,498,P,1.0
X,ST0,-0.05779637916239638,569,355,P,1.0
X,ST0,-0.11913020751428018,569,887,P,1.0
X,ST0,-0.09554731131995993,569,622,P,1.0
X,ST0,0.021686304070106494,569,399,P,1.0
X,ST0,-0.0745907155571261,569,9,P,1.0
X,ST0,0.0022627060031623868,569,602,P,1.0
X,ST0,-0.08037845336371739,569,318,P,1.0
X,ST0,-0.1071128543743478,569,657,P,1.0
X,ST0,-0.009582974139726662,569,55,P,1.0
X,ST0,-0.07617467499523649,489,689,P,1.0
X,ST0,-0.03890362000751459,489,364,P,1.0
X,ST0,-0.04831894130872158,489,922,P,1.0
X,ST0,-0.024515945478130276,489,170,P,1.0
X,ST0,-0.04065124728803324,489,655,P,1.0
X,ST0,-0.00171569762004457,489,448,P,1.0
X,ST0,-0.009799266328495797,489,460,P,1.0
X,ST0,-0.010647710426262126,489,233,P,1.0
X,ST0,-0.04627184878133755,544,296,P,1.0
X,ST0,-0.03673302428390301,668,664,P,1.0
X,ST0,-0.04023569936860825,668,447,P,1.0
X,ST0,-0.0226563697922472,668,578,P,1.0
X,ST0,-0.03132854485419452,668,91,P,1.0
X,ST0,-0.059691795110827395,668,855,P,1.0
X,ST0,-0.05296083814997565,668,387,P,1.0
X,ST0,-0.0349851706888957,668,260,P,1.0
X,ST0,0.0035243932158385014,668,468,P,1.0
X,ST0,-0.04239312429732395,668,79,P,1.0
X,ST0,-0.07563639846426994,668,731,P,1.0
X,ST0,0.06866539245163557,668,351,P,1.0
X,ST0,0.008294573648996545,41,264,P,1.0
X,ST0,0.04562011924397771,41,529,P,1.0
X,ST0,-0.002068929247122443,41,761,P,1.0
X,ST0,0.05666273996195915,41,599,P,1.0
X,ST0,0.07056689954893779,271,484,P,1.0
X,ST0,0.12706897780643267,271,306,P,1.0
X,ST0,0.07753211408439364,271,501,P,1.0
X,ST0,0.07676804074214177,271,596,P,1.0
X,ST0,0.08863350403704101,271,412,P,1.0
X,ST0,-0.02664781335995854,271,745,P,1.0
X,ST0,-0.12526514840115247,271,243,P,1.0
X,ST0,0.04735507209180293,271,581,P,1.0
X,ST0,0.02518784920877966,271,69,P,1.0
X,ST0,-0.091425180176525,134,200,P,1.0
X,ST0,0.04254143601811746,134,948,P,1.0
X,ST0,0.13359244652011282,134,859,P,1.0
X,ST0,0.0740257336594456,134,674,P,1.0
X,ST0,0.08599885248995093,134,923,P,1.0
X,ST0,-0.010192658104886454,134,796,P,1.0
X,ST0,-0.005794867127044035,134,676,P,1.0
X,ST0,-0.03740436541107855,134,317,P,1.0
X,ST0,-0.0041238121547161905,134,422,P,1.0
X,ST0,0.00770322082794496,134,481,P,1.0
X,ST0,0.012989001995667087,134,508,P,1.0
X,ST0,0.048738118838467494,134,516,P,1.0
X,ST0,-0.10904269289035687,134,217,P,1.0
X,ST0,-0.08178470431399222,134,807,P,1.0
X,ST0,0.012026240009911262,447,664,P,1.0
X,ST0,-0.1360574805832436,447,787,P,1.0
X,ST0,0.04812230116272309,447,578,P,1.0
X,ST0,-0.016026586145437068,447,91,P,1.0
X,ST0,-0.0253965930849639,447,855,P,1.0
X,ST0,-0.003811578114328292,447,387,P,1.0
X,ST0,-0.0035480413010117668,447,260,P,1.0
X,ST0,0.05324858485772975,447,468,P,1.0
X,ST0,-0.0033960843062503855,447,79,P,1.0
X,ST0,-0.03059740360479856,447,731,P,1.0
X,ST0,0.1424577284373869,447,223,P,1.0
X,ST0,0.10253347116017045,447,351,P,1.0
X,ST0,-0.1432126040414048,447,192,P,1.0
X,ST0,-0.15469900099079578,447,203,P,1.0
X,ST0,0.18130312855829567,701,734,P,1.0
X,ST0,-0.14922967578177443,701,729,P,1.0
X,ST0,-0.10554958721508902,701,331,P,1.0
X,ST0,-0.02229079341618597,105,677,P,1.0
X,ST0,-0.0286251978707952,105,889,P,1.0
X,ST0,-0.02380214433691303,725,588,P,1.0
X,ST0,0.0623967120787723,725,812,P,1.0
X,ST0,0.029691358639643818,725,210,P,1.0
X,ST0,0.030395228905333204,725,980,P,1.0
X,ST0,-0.0036105939830508877,464,700,P,1.0
X,ST0,-0.05972005735750836,464,814,P,1.0
X,ST0,0.059451368819815414,464,907,P,1.0
X,ST0,-0.0610126021114186,464,313,P,1.0
X,ST0,-0.01914790351813315,464,852,P,1.0
X,ST0,-0.026259065236416,944,445,P,1.0
X,ST0,0.08333181684701008,944,642,P,1.0
X,ST0,-0.05457563590205743,170,689,P,1.0
X,ST0,0.011000422989146271,170,364,P,1.0
X,ST0,-0.026986507304617262,170,922,P,1.0
X,ST0,-0.007298350527255578,170,655,P,1.0
X,ST0,0.018611275109037803,170,448,P,1.0
X,ST0,-0.0003983184143568413,170,460,P,1.0
X,ST0,0.012205713812964338,170,233,P,1.0
X,ST0,-0.03373072619907391,170,12,P,1.0
X,ST0,0.05855377833999191,166,991,P,1.0
X,ST0,-0.024499462734758986,166,478,P,1.0
X,ST0,0.10718399641708007,166,893,P,1.0
X,ST0,-0.06514015402740636,887,833,P,1.0
X,ST0,-0.06908780249914499,887,319,P,1.0
X,ST0,-0.08561611435793078,887,982,P,1.0
X,ST0,-0.08800701489555487,887,801,P,1.0
X,ST0,-0.046749326157760104,887,888,P,1.0
X,ST0,-0.07392101873811895,887,542,P,1.0
X,ST0,-0.012256058307610649,887,739,P,1.0
X,ST0,-0.048754222582602605,887,152,P,1.0
X,ST0,0.000014102256801856033,887,498,P,1.0
X,ST0,0.0014408536849992318,887,783,P,1.0
X,ST0,-0.03217915477440196,887,321,P,1.0
X,ST0,0.0013462193534445818,887,435,P,1.0
X,ST0,0.07262901117085059,887,355,P,1.0
X,ST0,-0.057829989172304516,887,359,P,1.0
X,ST0,0.0466804742657206,887,622,P,1.0
X,ST0,-0.0821530172569294,887,369,P,1.0
X,ST0,0.04690312444482529,887,9,P,1.0
X,ST0,0.024072254722857872,887,318,P,1.0
X,ST0,0.03842163297809562,887,657,P,1.0
X,ST0,0.11518719716398887,979,312,P,1.0
X,ST0,0.08298520701346446,979,404,P,1.0
X,ST0,0.08138193643968174,979,322,P,1.0
X,ST0,-0.05290917533050073,979,961,P,1.0
X,ST0,-0.0056112640615729875,699,368,P,1.0
X,ST0,-0.11999798357044843,598,142,P,1.0
X,ST0,-0.01676088022368618,445,719,P,1.0
X,ST0,0.059520218679997836,445,649,P,1.0
X,ST0,0.09699244147495421,445,642,P,1.0
X,ST0,0.0643673654008901,709,379,P,1.0
X,ST0,0.08367305787479873,709,563,P,1.0
X,ST0,-0.12808327701886046,709,101,P,1.0
X,ST0,0.036337329811498405,507,559,P,1.0
X,ST0,0.038852826080329556,507,185,P,1.0
X,ST0,0.01598681799901062,507,773,P,1.0
X,ST0,0.05964905215871203,507,128,P,1.0
X,ST0,-0.006674865904394426,349,948,P,1.0
X,ST0,-0.036078615994545725,349,479,P,1.0
X,ST0,0.08919003048592292,349,859,P,1.0
X,ST0,0.02358042275303962,349,674,P,1.0
X,ST0,0.04091661881716498,349,923,P,1.0
X,ST0,0.14615569525791838,349,800,P,1.0
X,ST0,-0.03223079468430363,349,796,P,1.0
X,ST0,-0.06044510965611431,349,676,P,1.0
X,ST0,-0.08919795093822841,349,317,P,1.0
X,ST0,-0.031871750050614725,349,422,P,1.0
X,ST0,-0.045207837477957334,349,481,P,1.0
X,ST0,0.08939213103678328,349,794,P,1.0
X,ST0,-0.09862129625754418,349,722,P,1.0
X,ST0,-0.029839787964002242,366,358,P,1.0
X,ST0,0.05473599572054421,366,510,P,1.0
X,ST0,-0.17335188373625135,366,779,P,1.0
X,ST0,-0.10362582290567506,366,326,P,1.0
X,ST0,0.06969416530486587,366,51,P,1.0
X,ST0,0.1748466831595083,366,418,P,1.0
X,ST0,0.17600356131593498,366,57,P,1.0
X,ST0,0.16719142243655585,366,242,P,1.0
X,ST0,0.1726094817905342,366,843,P,1.0
X,ST0,-0.13099119063167963,765,784,P,1.0
X,ST0,0.01592196691404467,765,114,P,1.0
X,ST0,-0.013133134374284662,765,828,P,1.0
X,ST0,-0.054953995670040647,765,952,P,1.0
X,ST0,-0.007972662442396049,765,870,P,1.0
X,ST0,-0.09386490613564592,765,332,P,1.0
X,ST0,-0.08925205910663414,765,905,P,1.0
X,ST0,-0.09792830938987797,765,582,P,1.0
X,ST0,0.12446467782284493,765,40,P,1.0
X,ST0,0.07884502891249408,765,429,P,1.0
X,ST0,0.029945003843133974,765,746,P,1.0
X,ST0,0.013161856031588787,765,307,P,1.0
X,ST0,-0.021563372917302447,765,621,P,1.0
X,ST0,-0.11583751520286448,318,982,P,1.0
X,ST0,-0.11126584454747974,318,801,P,1.0
X,ST0,-0.0733662746637671,318,888,P,1.0
X,ST0,-0.08171843481573376,318,542,P,1.0
X,ST0,-0.0506106492000159,318,739,P,1.0
X,ST0,-0.06430000189134569,318,152,P,1.0
X,ST0,-0.04490380309627972,318,498,P,1.0
X,ST0,-0.023256482950797894,318,783,P,1.0
X,ST0,-0.05994355883583638,318,321,P,1.0
X,ST0,-0.03735990152008466,318,435,P,1.0
X,ST0,0.03948770520501349,318,355,P,1.0
X,ST0,-0.07961045373544008,318,359,P,1.0
X,ST0,0.02189664817840605,318,622,P,1.0
X,ST0,-0.1228944190863012,318,369,P,1.0
X,ST0,0.007807224559896761,318,9,P,1.0
X,ST0,0.014576082607085358,318,657,P,1.0
X,ST0,0.08745089209379146,318,55,P,1.0
X,ST0,-0.05876194104072264,103,941,P,1.0
X,ST0,-0.03679149096754149,103,377,P,1.0
X,ST0,-0.0753635229993402,14,831,P,1.0
X,ST0,0.11333371188087299,14,652,P,1.0
X,ST0,0.05644929701393247,14,845,P,1.0
X,ST0,-0.01199460583924726,14,477,P,1.0
X,ST0,0.09517082195380283,14,994,P,1.0
X,ST0,0.1601840866087873,14,254,P,1.0
X,ST0,0.12331319512624435,14,711,P,1.0
X,ST0,0.045401271722921535,203,206,P,1.0
X,ST0,0.031169552694300606,203,787,P,1.0
X,ST0,-0.01481250965981202,203,663,P,1.0
X,ST0,-0.02001518439708694,203,20,P,1.0
X,ST0,-0.0000975268803191185,203,914,P,1.0
X,ST0,-0.12903117859314187,203,305,P,1.0
X,ST0,-0.0018487884946202175,203,192,P,1.0
X,ST0,-0.020967044537617763,203,424,P,1.0
X,ST0,0.021391079474852033,260,664,P,1.0
X,ST0,0.03579613039520393,260,578,P,1.0
X,ST0,-0.01751753131293548,260,91,P,1.0
X,ST0,-0.0031803223632004326,260,855,P,1.0
X,ST0,-0.002293687235723641,260,387,P,1.0
X,ST0,0.04888354277680624,260,468,P,1.0
X,ST0,-0.002576623150318089,260,79,P,1.0
X,ST0,-0.03193803245422492,260,731,P,1.0
X,ST0,0.12305007594011173,260,223,P,1.0
X,ST0,0.1118874300812456,260,351,P,1.0
X,ST0,0.07234577929227308,466,330,P,1.0
X,ST0,-0.008655285237589894,466,474,P,1.0
X,ST0,0.04742446249874982,466,866,P,1.0
X,ST0,0.006270330641763319,466,630,P,1.0
X,ST0,0.04448187178607114,466,95,P,1.0
X,ST0,-0.1347521906899163,466,522,P,1.0
X,ST0,-0.02012490168011172,466,148,P,1.0
X,ST0,0.07400815936742106,466,881,P,1.0
X,ST0,0.025626302552062195,474,571,P,1.0
X,ST0,0.029421232775889206,474,630,P,1.0
