network,station,dt,evid1,evid2,phase,cc
X,ST0,0.32455635395722837,701,376,P,1.0
X,ST0,-0.10898024973659798,701,729,P,1.0
X,ST0,-0.055083534339261636,775,459,P,1.0
X,ST0,-0.14734867655292774,775,19,P,1.0
X,ST0,0.17982559086202526,775,337,P,1.0
X,ST0,0.6770042516536612,272,567,P,1.0
X,ST0,-0.21004046419894712,272,861,P,1.0
X,ST0,0.12804852951381285,272,195,P,1.0
X,ST0,0.3974507068347982,272,502,P,1.0
X,ST0,-0.11734390074825897,435,888,P,1.0
X,ST0,-0.2516366048894293,435,833,P,1.0
X,ST0,-0.5954172158276886,435,887,P,1.0
X,ST0,-0.01631087860011375,435,355,P,1.0
X,ST0,-0.10600959413494856,435,374,P,1.0
X,ST0,0.11507612399157188,435,188,P,1.0
X,ST0,0.13369982484133058,435,218,P,1.0
X,ST0,-0.07651689888394733,435,319,P,1.0
X,ST0,0.20192655419009525,435,739,P,1.0
X,ST0,0.2149324626472592,435,559,P,1.0
X,ST0,0.4122437004964747,160,886,P,1.0
X,ST0,0.4289025794942177,160,259,P,1.0
X,ST0,-0.08279888957429593,736,594,P,1.0
X,ST0,0.11146619163086662,201,220,P,1.0
X,ST0,0.15358712546117115,201,453,P,1.0
X,ST0,0.17395234905724813,445,719,P,1.0
X,ST0,0.3912429510363781,445,649,P,1.0
X,ST0,0.43511965805447417,478,991,P,1.0
X,ST0,0.42465817199539385,478,893,P,1.0
X,ST0,-0.15182355088610755,686,809,P,1.0
X,ST0,0.04989609793998778,686,158,P,1.0
X,ST0,-0.053851084647650815,686,751,P,1.0
X,ST0,-0.7160231791831898,686,302,P,1.0
X,ST0,0.13143897231631585,686,243,P,1.0
X,ST0,0.17802251814876677,686,340,P,1.0
X,ST0,0.12108444086506687,686,752,P,1.0
X,ST0,0.47483493948534716,686,745,P,1.0
X,ST0,0.3368465531317112,686,410,P,1.0
X,ST0,0.2786314982113855,686,432,P,1.0
X,ST0,0.028073592893559998,271,412,P,1.0
X,ST0,-0.14586477462188205,605,968,P,1.0
X,ST0,0.22076567321122423,605,113,P,1.0
X,ST0,-0.2435632544700758,838,553,P,1.0
X,ST0,-0.006234830491335183,124,769,P,1.0
X,ST0,-0.560588716164572,172,332,P,1.0
X,ST0,-0.8546379502436703,172,114,P,1.0
X,ST0,-0.7045039861909884,172,905,P,1.0
X,ST0,-0.16765304944554732,485,281,P,1.0
X,ST0,-0.42478810078700846,869,940,P,1.0
X,ST0,-0.4788125713888763,869,490,P,1.0
X,ST0,-0.5521014574217548,869,545,P,1.0
X,ST0,-0.3686949993308295,869,714,P,1.0
X,ST0,-0.39449238958535415,869,449,P,1.0
X,ST0,0.15741937353231097,152,833,P,1.0
X,ST0,0.3432305839688199,152,542,P,1.0
X,ST0,0.30501762762798895,152,657,P,1.0
X,ST0,0.21215226200720427,152,321,P,1.0
X,ST0,0.17304627026946598,152,498,P,1.0
X,ST0,0.4570752031276498,152,359,P,1.0
X,ST0,0.6234343874483361,152,996,P,1.0
X,ST0,0.4231217479171285,414,296,P,1.0
X,ST0,-0.2400349486497973,414,300,P,1.0
X,ST0,0.2934624708063804,827,907,P,1.0
X,ST0,0.31661052896882863,827,852,P,1.0
X,ST0,0.35220391315119043,827,814,P,1.0
X,ST0,-0.66620373186703,265,703,P,1.0
X,ST0,-0.425856774354442,265,391,P,1.0
X,ST0,-0.43362170539725226,265,648,P,1.0
X,ST0,-0.15897594666856754,265,397,P,1.0
X,ST0,-0.45487655119944526,265,180,P,1.0
X,ST0,-0.45785519775413897,265,157,P,1.0
X,ST0,-0.47762179894695245,265,82,P,1.0
X,ST0,-0.4368775890740696,265,137,P,1.0
X,ST0,0.14446171510631517,265,720,P,1.0
X,ST0,0.15521716593426116,627,30,P,1.0
X,ST0,0.3594084590845746,489,170,P,1.0
X,ST0,-0.11785991238333753,418,843,P,1.0
X,ST0,-0.415496974788126,418,242,P,1.0
X,ST0,-0.07812930188979328,418,57,P,1.0
X,ST0,-0.004080079485254049,437,539,P,1.0
X,ST0,0.10955711772249092,437,78,P,1.0
X,ST0,-0.0855648559169739,437,263,P,1.0
X,ST0,0.31895543046089575,431,893,P,1.0
X,ST0,0.020172584373162987,431,303,P,1.0
X,ST0,-0.29712790279982326,84,477,P,1.0
X,ST0,-0.13340625514346094,575,931,P,1.0
