tag,phase,phase_name,cutoff_km,n,rmse,sigma_mad
full,0,P,0.1,1018,0.007355555415128764,0.007035314014926552
full,0,P,0.2,3435,0.008764013163953385,0.0086149995803833
full,0,P,0.3,6433,0.009658410558059518,0.009223704889789222
full,0,P,0.5,16198,0.012417216601371578,0.011070612585917114
full,0,P,0.75,32048,0.015173586720795365,0.01278560481313616
full,0,P,1.0,51029,0.01796635450449853,0.01444189460836351
full,0,P,1.5,51040,0.017964619837146204,0.014439170331694185
full,0,P,2.0,51040,0.017964619837146204,0.014439170331694185
full,0,P,3.0,51040,0.017964619837146204,0.014439170331694185
full,1,S,0.1,575,0.011021462852532238,0.010412116391211748
full,1,S,0.2,1859,0.01433564449132547,0.013455927378684281
full,1,S,0.3,3465,0.015980986587803097,0.014686643182486294
full,1,S,0.5,8938,0.02106499174877602,0.018085446888953447
full,1,S,0.75,17489,0.02589777289423829,0.02135095020532608
full,1,S,1.0,27691,0.030673308450477024,0.025177375598251818
full,1,S,1.5,27694,0.030671928448998843,0.025175113882496953
full,1,S,2.0,27694,0.030671928448998843,0.025175113882496953
full,1,S,3.0,27694,0.030671928448998843,0.025175113882496953
