tag,phase,phase_name,cutoff_km,n,rmse,sigma_mad
linfiltered,0,P,0.1,780,0.007423359457275705,0.006894275740161538
linfiltered,0,P,0.2,2592,0.008655480251939754,0.008560393919236957
linfiltered,0,P,0.3,4852,0.009601908251080836,0.009118891348131
linfiltered,0,P,0.5,11835,0.012337966068410873,0.01103429810218513
linfiltered,0,P,0.75,20629,0.014737118323303815,0.012418874093145132
linfiltered,0,P,1.0,28366,0.016719290830419495,0.013621329496242104
linfiltered,0,P,1.5,38414,0.01981652247365481,0.015618786271847783
linfiltered,0,P,2.0,45198,0.023277390498063096,0.017629269315116106
linfiltered,0,P,3.0,55846,0.02976540468248922,0.02188903419971466
linfiltered,1,S,0.1,523,0.011165458563315661,0.010874113947898148
linfiltered,1,S,0.2,1674,0.014365171238958007,0.01345930614452809
linfiltered,1,S,0.3,3103,0.016117036649365146,0.014853855501115322
linfiltered,1,S,0.5,7011,0.020621660237550757,0.017492733760178087
linfiltered,1,S,0.75,10845,0.02437723152042136,0.01986401707828045
linfiltered,1,S,1.0,13833,0.027628044598968966,0.022410305830836294
linfiltered,1,S,1.5,17364,0.03343996942143248,0.026601265124604104
linfiltered,1,S,2.0,20026,0.0405373810932986,0.030329098765365776
linfiltered,1,S,3.0,24263,0.05539778751793053,0.03845020617842674
