evid,std_x_km,std_y_km,std_z_km,std_t_s,std_xyz_km,ess_xyzt_min,ess_x,ess_y,ess_z,ess_t,n_samples,degree,ess_rank_hi,std_rank_lo,suspicious_score
60,0.055713277,0.031191815,0.049530424,0.0092028305,0.080809414,10.42223,10.42223,12.256692,10.544816,109.156906,12602,85,0.9432071269487751,0.9398663697104677,0.8864886582903855
504,0.048126087,0.047955375,0.0689176,0.010598822,0.09677538,12.622101,12.622101,32.384304,37.30021,75.374985,12602,85,0.9042316258351892,0.9788418708240534,0.8850997762907921
536,0.050643016,0.050746266,0.082800835,0.009735295,0.10952569,13.294896,13.294896,31.746977,37.843086,52.75579,12602,53,0.8930957683741648,0.9888641425389755,0.883150381198506
748,0.053546794,0.03033715,0.046143297,0.009119385,0.07692078,9.076012,9.076012,12.044209,10.330067,115.244125,12602,106,0.9587973273942093,0.920935412026726,0.8829904117539099
85,0.05314599,0.031453196,0.04498653,0.008829241,0.07640411,9.06637,9.727418,12.374122,9.06637,75.54599,12602,97,0.9599109131403117,0.9198218262806236,0.8829470091914225
995,0.052108455,0.028977426,0.044406418,0.0083778715,0.074343204,8.796346,9.044915,10.917281,8.796346,99.11421,12602,140,0.965478841870824,0.9109131403118039,0.8794673637531558
790,0.051450774,0.029982867,0.047745828,0.008346662,0.07632705,9.236176,9.256278,11.956974,9.236176,101.0138,12602,89,0.9543429844097995,0.9187082405345212,0.8767627640735909
396,0.058846645,0.034963794,0.03979032,0.009100913,0.0791749,10.619994,12.897813,17.12553,10.619994,169.23778,12602,37,0.9398663697104677,0.9320712694877505,0.8760224403648791
618,0.047068488,0.049245525,0.064246096,0.010707625,0.09363826,13.005192,13.005192,31.83863,32.050766,86.861435,12602,81,0.898663697104677,0.9688195991091314,0.8706430027628831
497,0.045212127,0.045000996,0.060774654,0.009872835,0.08810666,11.968929,11.968929,32.395073,33.385597,74.994705,12602,63,0.9120267260579065,0.9543429844097995,0.870386307607601
885,0.04968166,0.029159952,0.04254155,0.008666516,0.07161252,8.289872,8.289872,10.842999,8.6300125,85.87227,12602,154,0.9755011135857461,0.88641425389755,0.8646980917753383
352,0.07832381,0.06808429,0.0734742,0.010421489,0.1271556,14.825789,20.396662,14.825789,24.938297,137.90993,12602,36,0.8674832962138084,0.9944320712694877,0.86265321104558
821,0.047145396,0.048278622,0.06674665,0.011469617,0.094913796,13.756036,13.756036,32.274357,35.429214,95.66329,12602,67,0.8853006681514476,0.9732739420935411,0.8616400712298052
