evid,latitude,longitude,depth,time,mag
1,35.9629,-117.6839,3.6030,2000-12-13T15:01:01.000000,1.0
2,36.0664,-117.8441,3.2620,2000-12-13T15:02:01.000000,1.0
3,35.8982,-117.7215,5.7450,2000-12-13T15:03:01.000000,1.0
4,35.8979,-117.7203,5.6390,2000-12-13T15:04:01.000000,1.0
5,35.9033,-117.7036,6.2950,2000-12-13T15:05:01.000000,1.0
6,35.6701,-117.5172,7.3680,2000-12-13T15:06:01.000000,1.0
7,35.5599,-117.3264,3.7360,2000-12-13T15:07:01.000000,1.0
8,36.0442,-117.8612,3.8810,2000-12-13T15:08:01.000000,1.0
9,35.9441,-117.6941,3.9600,2000-12-13T15:09:01.000000,1.0
10,35.5801,-117.6037,7.0970,2000-12-13T15:10:01.000000,1.0
11,35.9378,-117.6776,4.0240,2000-12-13T15:11:01.000000,1.0
12,35.5832,-117.6152,5.5260,2000-12-13T15:12:01.000000,1.0
13,35.9102,-117.6749,3.5140,2000-12-13T15:13:01.000000,1.0
14,35.6698,-117.4704,5.3560,2000-12-13T15:14:01.000000,1.0
15,35.7076,-117.5062,7.2870,2000-12-13T15:15:01.000000,1.0
16,35.6752,-117.4835,2.8920,2000-12-13T15:16:01.000000,1.0
17,35.8707,-117.6851,7.5760,2000-12-13T15:17:01.000000,1.0
18,35.6568,-117.5389,8.9100,2000-12-13T15:18:01.000000,1.0
19,35.6268,-117.4265,5.8230,2000-12-13T15:19:01.000000,1.0
20,35.8899,-117.6827,5.1960,2000-12-13T15:20:01.000000,1.0
21,35.5862,-117.4195,4.6690,2000-12-13T15:21:01.000000,1.0
22,35.5825,-117.5831,7.3790,2000-12-13T15:22:01.000000,1.0
23,35.6992,-117.5111,7.7270,2000-12-13T15:23:01.000000,1.0
24,35.9226,-117.7095,6.7340,2000-12-13T15:24:01.000000,1.0
25,35.8865,-117.6833,7.2920,2000-12-13T15:25:01.000000,1.0
26,35.6486,-117.4496,6.9160,2000-12-13T15:26:01.000000,1.0
27,35.6089,-117.5868,5.5620,2000-12-13T15:27:01.000000,1.0
28,35.8751,-117.7078,4.8360,2000-12-13T15:28:01.000000,1.0
29,35.8745,-117.6968,5.8570,2000-12-13T15:29:01.000000,1.0
30,35.5707,-117.5988,6.3620,2000-12-13T15:30:01.000000,1.0
31,35.6670,-117.4862,4.9410,2000-12-13T15:31:01.000000,1.0
32,35.6784,-117.4841,6.0980,2000-12-13T15:32:01.000000,1.0
33,35.9595,-117.7040,4.1250,2000-12-13T15:33:01.000000,1.0
34,35.7258,-117.5414,6.0370,2000-12-13T15:34:01.000000,1.0
35,35.8642,-117.6975,6.0190,2000-12-13T15:35:01.000000,1.0
36,35.9044,-117.7464,6.9860,2000-12-13T15:36:01.000000,1.0
37,35.7064,-117.5860,7.6630,2000-12-13T15:37:01.000000,1.0
38,35.6477,-117.4936,6.4210,2000-12-13T15:38:01.000000,1.0
39,35.7537,-117.5734,6.3730,2000-12-13T15:39:01.000000,1.0
40,35.9134,-117.7070,4.4770,2000-12-13T15:40:01.000000,1.0
41,35.8830,-117.6989,4.4610,2000-12-13T15:41:01.000000,1.0
42,35.6788,-117.4933,0.6900,2000-12-13T15:42:01.000000,1.0
43,35.8757,-117.6925,7.4650,2000-12-13T15:43:01.000000,1.0
44,35.9423,-117.6868,4.1710,2000-12-13T15:44:01.000000,1.0
45,35.6619,-117.4806,5.5280,2000-12-13T15:45:01.000000,1.0
46,35.6060,-117.5788,5.4050,2000-12-13T15:46:01.000000,1.0
47,35.8685,-117.6842,7.8530,2000-12-13T15:47:01.000000,1.0
48,35.7332,-117.5325,4.3380,2000-12-13T15:48:01.000000,1.0
49,35.9210,-117.7126,3.5800,2000-12-13T15:49:01.000000,1.0
50,35.5969,-117.6007,4.6740,2000-12-13T15:50:01.000000,1.0
51,35.9828,-117.6728,3.0660,2000-12-13T15:51:01.000000,1.0
52,35.6623,-117.5019,5.4150,2000-12-13T15:52:01.000000,1.0
53,35.9448,-117.6952,3.7630,2000-12-13T15:53:01.000000,1.0
54,35.6996,-117.5456,7.9700,2000-12-13T15:54:01.000000,1.0
55,35.9496,-117.6975,4.3290,2000-12-13T15:55:01.000000,1.0
56,35.7444,-117.5348,6.4670,2000-12-13T15:56:01.000000,1.0
57,35.9844,-117.6776,2.8270,2000-12-13T15:57:01.000000,1.0
58,35.7602,-117.5787,8.1570,2000-12-13T15:58:01.000000,1.0
59,35.9243,-117.7043,4.6050,2000-12-13T15:59:01.000000,1.0
60,35.8666,-117.7013,5.0680,2000-12-13T16:00:01.000000,1.0
61,35.8987,-117.7228,7.1120,2000-12-13T16:01:01.000000,1.0
62,35.6275,-117.4287,2.9390,2000-12-13T16:02:01.000000,1.0
63,35.8743,-117.6677,8.9800,2000-12-13T16:03:01.000000,1.0
64,35.6161,-117.5939,7.4060,2000-12-13T16:04:01.000000,1.0
65,36.0517,-117.8430,3.4640,2000-12-13T16:05:01.000000,1.0
66,35.6046,-117.5962,5.0820,2000-12-13T16:06:01.000000,1.0
67,35.6421,-117.4511,3.8410,2000-12-13T16:07:01.000000,1.0
68,35.9176,-117.7110,5.0410,2000-12-13T16:08:01.000000,1.0
69,35.6405,-117.4405,4.5460,2000-12-13T16:09:01.000000,1.0
70,35.7173,-117.5331,7.9510,2000-12-13T16:10:01.000000,1.0
71,35.7177,-117.5250,5.5550,2000-12-13T16:11:01.000000,1.0
72,35.6682,-117.5160,7.7990,2000-12-13T16:12:01.000000,1.0
73,35.9184,-117.6928,4.3310,2000-12-13T16:13:01.000000,1.0
74,35.9214,-117.7261,4.3750,2000-12-13T16:14:01.000000,1.0
75,35.7403,-117.5657,3.9470,2000-12-13T16:15:01.000000,1.0
76,35.5866,-117.4186,4.6040,2000-12-13T16:16:01.000000,1.0
77,35.9493,-117.6875,3.9970,2000-12-13T16:17:01.000000,1.0
78,35.9153,-117.7122,7.0740,2000-12-13T16:18:01.000000,1.0
79,35.9005,-117.6734,4.0680,2000-12-13T16:19:01.000000,1.0
80,35.6447,-117.4600,4.4010,2000-12-13T16:20:01.000000,1.0
81,35.6319,-117.4313,4.9890,2000-12-13T16:21:01.000000,1.0
82,35.5922,-117.4231,5.5780,2000-12-13T16:22:01.000000,1.0
83,35.6654,-117.4803,2.8730,2000-12-13T16:23:01.000000,1.0
84,35.6730,-117.4622,4.7210,2000-12-13T16:24:01.000000,1.0
85,35.8675,-117.7006,4.6800,2000-12-13T16:25:01.000000,1.0
86,35.6649,-117.4780,5.2440,2000-12-13T16:26:01.000000,1.0
87,35.7125,-117.5367,4.4010,2000-12-13T16:27:01.000000,1.0
88,35.8944,-117.6913,4.7740,2000-12-13T16:28:01.000000,1.0
89,35.8774,-117.7110,4.5510,2000-12-13T16:29:01.000000,1.0
90,35.6186,-117.4317,5.3690,2000-12-13T16:30:01.000000,1.0
91,35.9000,-117.6755,4.2170,2000-12-13T16:31:01.000000,1.0
92,35.6677,-117.4872,2.1660,2000-12-13T16:32:01.000000,1.0
93,35.9419,-117.6978,4.0090,2000-12-13T16:33:01.000000,1.0
94,35.6454,-117.4495,2.4580,2000-12-13T16:34:01.000000,1.0
95,35.8973,-117.7102,7.0110,2000-12-13T16:35:01.000000,1.0
96,35.7130,-117.4893,5.1300,2000-12-13T16:36:01.000000,1.0
97,35.6703,-117.4700,2.7860,2000-12-13T16:37:01.000000,1.0
98,35.8835,-117.6884,7.1080,2000-12-13T16:38:01.000000,1.0
99,35.9322,-117.7156,6.2300,2000-12-13T16:39:01.000000,1.0
100,35.6416,-117.4433,3.0050,2000-12-13T16:40:01.000000,1.0
101,36.0162,-117.8457,3.5730,2000-12-13T16:41:01.000000,1.0
102,35.7737,-117.5591,6.2910,2000-12-13T16:42:01.000000,1.0
103,35.8894,-117.7166,4.8860,2000-12-13T16:43:01.000000,1.0
104,35.9658,-117.6804,0.8270,2000-12-13T16:44:01.000000,1.0
105,35.6783,-117.5499,7.9810,2000-12-13T16:45:01.000000,1.0
106,35.8883,-117.6822,5.1930,2000-12-13T16:46:01.000000,1.0
107,35.9174,-117.7284,4.0700,2000-12-13T16:47:01.000000,1.0
108,35.6403,-117.4674,6.4700,2000-12-13T16:48:01.000000,1.0
109,35.7267,-117.5252,6.0870,2000-12-13T16:49:01.000000,1.0
110,35.5874,-117.4192,5.2480,2000-12-13T16:50:01.000000,1.0
111,35.9281,-117.7101,4.6050,2000-12-13T16:51:01.000000,1.0
112,35.6994,-117.5918,7.5000,2000-12-13T16:52:01.000000,1.0
113,35.7175,-117.5370,7.2970,2000-12-13T16:53:01.000000,1.0
114,35.9107,-117.6985,4.6540,2000-12-13T16:54:01.000000,1.0
115,35.5900,-117.4209,5.1100,2000-12-13T16:55:01.000000,1.0
116,35.8850,-117.6893,7.1770,2000-12-13T16:56:01.000000,1.0
117,35.8220,-117.6446,4.3850,2000-12-13T16:57:01.000000,1.0
118,35.6815,-117.5235,8.6400,2000-12-13T16:58:01.000000,1.0
119,35.5634,-117.6179,5.8040,2000-12-13T16:59:01.000000,1.0
120,35.7097,-117.4991,6.2160,2000-12-13T17:00:01.000000,1.0
121,35.7190,-117.5681,8.7700,2000-12-13T17:01:01.000000,1.0
122,35.6705,-117.4830,4.8020,2000-12-13T17:02:01.000000,1.0
123,35.7039,-117.5260,9.1990,2000-12-13T17:03:01.000000,1.0
124,35.7169,-117.5470,8.3480,2000-12-13T17:04:01.000000,1.0
125,35.8896,-117.6875,5.3240,2000-12-13T17:05:01.000000,1.0
126,35.5927,-117.4223,4.1360,2000-12-13T17:06:01.000000,1.0
127,35.8845,-117.6849,7.5880,2000-12-13T17:07:01.000000,1.0
128,35.9327,-117.6730,3.0350,2000-12-13T17:08:01.000000,1.0
129,35.7213,-117.5272,6.3610,2000-12-13T17:09:01.000000,1.0
